OpenX Id,Open X Name,OpenX Parent_category_id,OpenX Parent Category Name,IAB/ADF Category Name,IAB/ADF ID
1814,Java,18,Technology & Computing,Technology & Computing,IAB19
1815,JavaScript,18,Technology & Computing,Technology & Computing,IAB19
1816,Linux,18,Technology & Computing,Technology & Computing,IAB19
1817,Mac OS,18,Technology & Computing,Technology & Computing,IAB19
1818,Mac Support,18,Technology & Computing,Technology & Computing,IAB19
1819,MP3/MIDI,18,Technology & Computing,Technology & Computing,IAB19
1820,Net Conferencing,18,Technology & Computing,Technology & Computing,IAB19
1821,Network Security,18,Technology & Computing,Technology & Computing,IAB19
1822,Other Software,18,Technology & Computing,Technology & Computing,IAB19
1823,PC Support,18,Technology & Computing,Technology & Computing,IAB19
1824,Tech News,18,Technology & Computing,Technology & Computing,IAB19
1825,Unix,18,Technology & Computing,Technology & Computing,IAB19
1826,Visual Basic,18,Technology & Computing,Technology & Computing,IAB19
1827,Web Design/HTML,18,Technology & Computing,Technology & Computing,IAB19
1828,Web Hosting,18,Technology & Computing,Technology & Computing,IAB19
1829,Windows OS,18,Technology & Computing,Technology & Computing,IAB19
18,Technology & Computing,18,Technology & Computing,Technology & Computing,IAB19
1902,Bittorrents,19,Internet,Internet Technology,IAB19-18
1903,Blogging Tools,19,Internet,Internet Technology,IAB19-18
1901,Browser Plugins,19,Internet,Internet Technology,IAB19-18
1910,Chat/Instant Messaging,19,Internet,Internet Technology,IAB19-18
1934,Clip Art,19,Internet,Internet Technology,IAB19-18
1906,Domain Parking,19,Internet,Internet Technology,IAB19-18
1907,Domains and DNS,19,Internet,Internet Technology,IAB19-18
1909,File and Photo Hosting,19,Internet,Internet Technology,IAB19-18
1927,Humor & Entertainment,19,Internet,Internet Technology,IAB19-18
1935,Money Making Opportunities,19,Internet,Internet Technology,IAB19-18
1928,mp3 Downloads,19,Internet,Internet Technology,IAB19-18
1929,Music Streaming,19,Internet,Internet Technology,IAB19-18
1930,Net for Beginners,19,Internet,Internet Technology,IAB19-18
1931,Online Games,19,Internet,Internet Technology,IAB19-18
1905,Personal Blogs & General Forums,19,Internet,Internet Technology,IAB19-18
1914,Proxy Sites,19,Internet,Internet Technology,IAB19-18
1916,Shareware/Freeware,19,Internet,Internet Technology,IAB19-18
1924,Specialized Portals,19,Internet,Internet Technology,IAB19-18
1932,Tools & Applications,19,Internet,Internet Technology,IAB19-18
1933,Video Streaming,19,Internet,Internet Technology,IAB19-18
1921,Wallpapers & Screensavers,19,Internet,Internet Technology,IAB19-18
1923,Web Search,19,Internet,Internet Technology,IAB19-18
19,Internet,19,Internet,Internet Technology,IAB19-18
2001,Books/Comics,20,Mobile Websites and Apps,Mobile Content,ADF-007
2002,Business,20,Mobile Websites and Apps,Mobile Content,ADF-007
2003,Education,20,Mobile Websites and Apps,Mobile Content,ADF-007
2004,Entertainment,20,Mobile Websites and Apps,Mobile Content,ADF-007
2005,Finance,20,Mobile Websites and Apps,Mobile Content,ADF-007
2006,Games - action,20,Mobile Websites and Apps,Mobile Content,ADF-007
2007,Games - adventure,20,Mobile Websites and Apps,Mobile Content,ADF-007
2008,Games - arcade,20,Mobile Websites and Apps,Mobile Content,ADF-007
2009,Games - board,20,Mobile Websites and Apps,Mobile Content,ADF-007
2010,Games - brain/puzzle/trivia/word,20,Mobile Websites and Apps,Mobile Content,ADF-007
2011,Games - cards/casino/dice,20,Mobile Websites and Apps,Mobile Content,ADF-007
2012,Games - family/kids/educational,20,Mobile Websites and Apps,Mobile Content,ADF-007
2013,Games - music,20,Mobile Websites and Apps,Mobile Content,ADF-007
2014,Games - racing,20,Mobile Websites and Apps,Mobile Content,ADF-007
2015,Games - role playing,20,Mobile Websites and Apps,Mobile Content,ADF-007
2016,Games - sports,20,Mobile Websites and Apps,Mobile Content,ADF-007
2017,Games - strategy,20,Mobile Websites and Apps,Mobile Content,ADF-007
2020,Health & Fitness,20,Mobile Websites and Apps,Mobile Content,ADF-007
2018,Lifestyle,20,Mobile Websites and Apps,Mobile Content,ADF-007
2019,Media & Video,20,Mobile Websites and Apps,Mobile Content,ADF-007
2021,Music/Audio/Podcasts,20,Mobile Websites and Apps,Mobile Content,ADF-007
2022,Navigation/City info,20,Mobile Websites and Apps,Mobile Content,ADF-007
2023,News/Magazines,20,Mobile Websites and Apps,Mobile Content,ADF-007
2024,Photography,20,Mobile Websites and Apps,Mobile Content,ADF-007
2025,Productivity,20,Mobile Websites and Apps,Mobile Content,ADF-007
2026,Reference,20,Mobile Websites and Apps,Mobile Content,ADF-007
2027,Shopping,20,Mobile Websites and Apps,Mobile Content,ADF-007
2028,Social Networking,20,Mobile Websites and Apps,Mobile Content,ADF-007
2029,Sports,20,Mobile Websites and Apps,Mobile Content,ADF-007
2030,Travel,20,Mobile Websites and Apps,Mobile Content,ADF-007
2031,Weather,20,Mobile Websites and Apps,Mobile Content,ADF-007
20,Mobile Websites and Apps,20,Mobile Websites and Apps,Mobile Content,ADF-007
2101,International News,21,News,News,IAB12
2102,Local News,21,News,News,IAB12
2103,Portals,21,News,News,IAB12
2104,US National News,21,News,News,IAB12
21,News,21,News,News,IAB12
2201,Apartments,22,Real Estate,Real Estate,IAB21
2202,Architects,22,Real Estate,Real Estate,IAB21
2203,Commercial,22,Real Estate,Real Estate,IAB21
2204,Residential,22,Real Estate,Real Estate,IAB21
22,Real Estate,22,Real Estate,Real Estate,IAB21
2313,Adult Education,23,Education,Education,IAB5
2314,Business School,23,Education,Education,IAB5
2315,College,23,Education,Education,IAB5
2316,College Administration,23,Education,Education,IAB5
2304,College Life,23,Education,Education,IAB5
2317,Distance Learning,23,Education,Education,IAB5
2318,Elementary School,23,Education,Education,IAB5
2305,Graduate School,23,Education,Education,IAB5
2319,Homeschooling,23,Education,Education,IAB5
2320,Homework/Study Tips,23,Education,Education,IAB5
2303,Middle School/High School,23,Education,Education,IAB5
2321,Private School,23,Education,Education,IAB5
2322,Special Education,23,Education,Education,IAB5
2308,Teachers Resources,23,Education,Education,IAB5
2323,Tutoring,23,Education,Education,IAB5
23,Education,23,Education,Education,IAB5
2407,Anatomy,24,Science,Science,IAB15
2405,Applied Science,24,Science,Science,IAB15
2411,Astrology,24,Science,Science,IAB15
2401,Biology,24,Science,Science,IAB15
2412,Botany,24,Science,Science,IAB15
2402,Chemistry,24,Science,Science,IAB15
2404,Energy,24,Science,Science,IAB15
2413,Geography,24,Science,Science,IAB15
2403,Geology,24,Science,Science,IAB15
2414,Journals and News,24,Science,Science,IAB15
2415,Mathematics,24,Science,Science,IAB15
2416,Paranormal Phenomena,24,Science,Science,IAB15
2408,Physics,24,Science,Science,IAB15
2409,Space/Astronomy,24,Science,Science,IAB15
2417,Weather,24,Science,Science,IAB15
24,Science,24,Science,Science,IAB15
2516,Auto Racing,25,Sports,Sports,IAB17
2501,Baseball,25,Sports,Sports,IAB17
2508,Bicycling,25,Sports,Sports,IAB17
2529,Bodybuilding,25,Sports,Sports,IAB17
2504,Bowling,25,Sports,Sports,IAB17
2505,Boxing,25,Sports,Sports,IAB17
2530,Canoeing/Kayaking,25,Sports,Sports,IAB17
2531,Cheerleading,25,Sports,Sports,IAB17
2510,Climbing,25,Sports,Sports,IAB17
2507,Cricket,25,Sports,Sports,IAB17
2509,Equestrian,25,Sports,Sports,IAB17
2532,Figure Skating,25,Sports,Sports,IAB17
2519,Fish & Game,25,Sports,Sports,IAB17
2528,Fly Fishing,25,Sports,Sports,IAB17
2512,Football,25,Sports,Sports,IAB17
2533,Freshwater Fishing,25,Sports,Sports,IAB17
2513,Golf,25,Sports,Sports,IAB17
2534,Horse Racing,25,Sports,Sports,IAB17
2535,Hunting/Shooting,25,Sports,Sports,IAB17
2536,Inline Skating,25,Sports,Sports,IAB17
2515,Martial Arts,25,Sports,Sports,IAB17
2537,Mountain Biking,25,Sports,Sports,IAB17
2517,Multi-Sport News,25,Sports,Sports,IAB17
2538,NASCAR Racing,25,Sports,Sports,IAB17
2518,Olympics,25,Sports,Sports,IAB17
2539,Paintball,25,Sports,Sports,IAB17
2540,Power Bikes & Motorcycles,25,Sports,Sports,IAB17
2502,Pro Basketball,25,Sports,Sports,IAB17
2514,Pro Ice Hockey,25,Sports,Sports,IAB17
2541,Rodeo,25,Sports,Sports,IAB17
2542,Rugby,25,Sports,Sports,IAB17
2511,Running/Jogging,25,Sports,Sports,IAB17
2503,Sailing,25,Sports,Sports,IAB17
2543,Saltwater Fishing,25,Sports,Sports,IAB17
2544,Scuba Diving,25,Sports,Sports,IAB17
2545,Skateboarding,25,Sports,Sports,IAB17
2526,Skiing,25,Sports,Sports,IAB17
2546,Snowboarding,25,Sports,Sports,IAB17
2547,Surfing/Bodyboarding,25,Sports,Sports,IAB17
2525,Swimming,25,Sports,Sports,IAB17
2524,Table Tennis/Ping-Pong,25,Sports,Sports,IAB17
2521,Tennis,25,Sports,Sports,IAB17
2548,Volleyball,25,Sports,Sports,IAB17
2549,Walking,25,Sports,Sports,IAB17
2550,Waterski/Wakeboard,25,Sports,Sports,IAB17
2522,World Soccer,25,Sports,Sports,IAB17
2527,Wrestling,25,Sports,Sports,IAB17
25,Sports,25,Sports,Sports,IAB17
2607,Cannabis & Marijuana,26,Tobacco and Smoking,Health & Fitness,IAB7
2608,Cigars,26,Tobacco and Smoking,Health & Fitness,IAB7
2601,Herbal Cigarettes,26,Tobacco and Smoking,Health & Fitness,IAB7
2602,Laws and Regulations,26,Tobacco and Smoking,Health & Fitness,IAB7
2609,Smokeless Cigarettes,26,Tobacco and Smoking,Health & Fitness,IAB7
2603,Smokers Resources,26,Tobacco and Smoking,Health & Fitness,IAB7
2604,Smoking Accessories,26,Tobacco and Smoking,Health & Fitness,IAB7
2605,Tobacco,26,Tobacco and Smoking,Health & Fitness,IAB7
26,Tobacco and Smoking,26,Tobacco and Smoking,Health & Fitness,IAB7
2819,Adventure Travel,28,Travel,Travel,IAB20
2820,Africa,28,Travel,Travel,IAB20
2804,Air Travel,28,Travel,Travel,IAB20
2821,Asia,28,Travel,Travel,IAB20
2822,Australia & New Zealand,28,Travel,Travel,IAB20
2823,Bed & Breakfasts,28,Travel,Travel,IAB20
2824,Budget Travel,28,Travel,Travel,IAB20
2825,Business Travel,28,Travel,Travel,IAB20
2826,Camping,28,Travel,Travel,IAB20
2827,Canada,28,Travel,Travel,IAB20
2828,Caribbean,28,Travel,Travel,IAB20
2811,Cruises,28,Travel,Travel,IAB20
2829,Eastern Europe,28,Travel,Travel,IAB20
2830,France,28,Travel,Travel,IAB20
2831,Germany,28,Travel,Travel,IAB20
2832,Greece,28,Travel,Travel,IAB20
2833,Honeymoons/Getaways,28,Travel,Travel,IAB20
2807,Hotels,28,Travel,Travel,IAB20
2834,Italy,28,Travel,Travel,IAB20
2835,Japan,28,Travel,Travel,IAB20
2836,Mexico & Central America,28,Travel,Travel,IAB20
2837,Middle East,28,Travel,Travel,IAB20
2814,Navigation,28,Travel,Travel,IAB20
2838,South Africa,28,Travel,Travel,IAB20
2839,South America,28,Travel,Travel,IAB20
2840,Spas,28,Travel,Travel,IAB20
2802,Theme Parks,28,Travel,Travel,IAB20
2816,Travel Blogs & Forums,28,Travel,Travel,IAB20
2841,Traveling with Kids,28,Travel,Travel,IAB20
2842,United Kingdom,28,Travel,Travel,IAB20
2843,United States,28,Travel,Travel,IAB20
2844,US National Parks,28,Travel,Travel,IAB20
2845,Western Europe,28,Travel,Travel,IAB20
28,Travel,28,Travel,Travel,IAB20
2903,Dictionaries,29,Reference & Directory,Books & Literature,IAB1-1
2907,Directories,29,Reference & Directory,Books & Literature,IAB1-1
2909,Translation,29,Reference & Directory,Books & Literature,IAB1-1
29,Reference & Directory,29,Reference & Directory,Books & Literature,IAB1-1
3001,Accounting,30,Personal Finance,Personal Finance,IAB13
3002,Banking,30,Personal Finance,Personal Finance,IAB13
3011,Beginning Investing,30,Personal Finance,Personal Finance,IAB13
3003,Credit/Debt & Loans,30,Personal Finance,Personal Finance,IAB13
3009,Financial News,30,Personal Finance,Personal Finance,IAB13
3010,Financial Planning,30,Personal Finance,Personal Finance,IAB13
3012,Hedge Fund,30,Personal Finance,Personal Finance,IAB13
3004,Insurance,30,Personal Finance,Personal Finance,IAB13
3005,Investing,30,Personal Finance,Personal Finance,IAB13
3013,Mutual Funds,30,Personal Finance,Personal Finance,IAB13
3014,Options,30,Personal Finance,Personal Finance,IAB13
3007,Retirement Planning,30,Personal Finance,Personal Finance,IAB13
3015,Stocks,30,Personal Finance,Personal Finance,IAB13
3016,Tax Planning,30,Personal Finance,Personal Finance,IAB13
30,Personal Finance,30,Personal Finance,Personal Finance,IAB13
3102,Cell Phones & Devices,31,Telecommunications,Technology & Computing,IAB19
3106,Internet Service Providers,31,Telecommunications,Technology & Computing,IAB19
3107,Land Phones & VoIP,31,Telecommunications,Technology & Computing,IAB19
3101,Mobile Phone Plans,31,Telecommunications,Technology & Computing,IAB19
31,Telecommunications,31,Telecommunications,Technology & Computing,IAB19
3201,Archaeology,32,Social Science,Religion & Spirituality,IAB23
3202,Art History,32,Social Science,Religion & Spirituality,IAB23
3203,English as a 2nd Language,32,Social Science,Religion & Spirituality,IAB23
3204,Geography,32,Social Science,Religion & Spirituality,IAB23
3205,History,32,Social Science,Religion & Spirituality,IAB23
3206,Language Learning,32,Social Science,Religion & Spirituality,IAB23
