ADFONIC,,,,,,OpenX Parent Category,,Publisher: Ad Attribute,
ID,NAME,PARENT_ID,CATEGORY_ORDER,IAB_ID,CHANNEL_ID,OpenX Parent Category,OpenX Parent Category ID,Open X Ad Attribute,OpenX Ad Attribute ID
434,Architects,432,1,IAB21-2,3,Corporate Sites,40013,,
127,Marketing,74,10,IAB3-11,4,Corporate Sites,40013,,
140,Career Advice,129,10,IAB4-11,4,Careers,5,,
130,Career Planning,129,0,IAB4-1,4,Careers,5,,
129,Careers,,3,IAB4,4,Careers,5,,
125,Human Resources,74,8,IAB3-9,4,Careers,5,,
74,Business,,2,IAB3,4,Business,4,,
120,Business Software,74,3,IAB3-4,4,Business,4,,
411,Business Travel,63,6,IAB20-7,3,Business,4,,
412,By US Locale,63,7,IAB20-8,3,Business,4,,
283,Hedge Fund,53,4,IAB13-5,4,Business,4,,
399,Shareware/Freeware,62,31,IAB19-30,4,Banned,40098,,
279,Beginning Investing,53,0,IAB13-1,4,"Banking, Finance, Insurance",40004,,
98,Certified Pre-Owned,48,4,IAB2-5,3,"Banking, Finance, Insurance",40004,,
280,Credit/Debit & Loans,53,1,IAB13-2,4,"Banking, Finance, Insurance",40004,,
132,Financial Aid,129,2,IAB4-3,4,"Banking, Finance, Insurance",40004,,
281,Financial News,53,2,IAB13-3,4,"Banking, Finance, Insurance",40004,,
282,Financial Planning,53,3,IAB13-4,4,"Banking, Finance, Insurance",40004,,
284,Insurance,53,5,IAB13-6,4,"Banking, Finance, Insurance",40004,,
285,Investing,53,6,IAB13-7,4,"Banking, Finance, Insurance",40004,,
248,Investors & Patents,231,17,IAB9-18,2,"Banking, Finance, Insurance",40004,,
126,Logistics,74,9,IAB3-10,4,"Banking, Finance, Insurance",40004,,
286,Mutual Funds,53,7,IAB13-8,4,"Banking, Finance, Insurance",40004,,
287,Options,53,8,IAB13-9,4,"Banking, Finance, Insurance",40004,,
53,Personal Finance,,12,IAB13,4,"Banking, Finance, Insurance",40004,,
289,Stocks,53,10,IAB13-11,4,"Banking, Finance, Insurance",40004,,
290,Tax Planning,53,11,IAB13-12,4,"Banking, Finance, Insurance",40004,,
94,Auto Parts,48,0,IAB2-1,3,Automotive,3,,
318,Auto Racing,61,0,IAB17-1,4,Automotive,3,,
95,Auto Repairs,48,1,IAB2-2,3,Automotive,3,,
48,Automotive,,1,IAB2,3,Automotive,3,,
96,Buying/Selling Cars,48,2,IAB2-3,3,Automotive,3,,
97,Car Culture,48,3,IAB2-4,3,Automotive,3,,
99,Convertible,48,5,IAB2-6,3,Automotive,3,,
100,Coupe,48,6,IAB2-7,3,Automotive,3,,
102,Diesel,48,8,IAB2-9,3,Automotive,3,,
104,Hatchback,48,10,IAB2-11,3,Automotive,3,,
107,MiniVan,48,13,IAB2-14,3,Automotive,3,,
108,Mototcycles,48,14,IAB2-15,3,Automotive,3,,
109,Off-Road Vehicles,48,15,IAB2-16,3,Automotive,3,,
110,Performance Vehicles,48,16,IAB2-17,3,Automotive,3,,
111,Pickup,48,17,IAB2-18,3,Automotive,3,,
342,Power & Motorcycles,61,24,IAB17-25,4,Automotive,3,,
112,Road-Side Assistance,48,18,IAB2-19,3,Automotive,3,,
113,Sedan,48,19,IAB2-20,3,Automotive,3,,
114,Trucks & Accessories,48,20,IAB2-21,3,Automotive,3,,
369,Animation,62,1,IAB19-2,4,Arts & Entertainment,2,,
143,Art History,51,2,IAB5-3,4,Arts & Entertainment,2,,
86,Art/Technology,231,0,IAB9-1,2,Arts & Entertainment,2,,
90,Arts & Entertainment,,0,IAB1,1,Arts & Entertainment,2,,
363,Body Art,75,1,IAB18-2,3,Arts & Entertainment,2,,
73,Books & Literature,90,0,IAB1-1,1,Arts & Entertainment,2,,
262,Entertaining,260,1,IAB10-2,3,Arts & Entertainment,2,,
398,Entertainment,62,30,IAB19-29,4,Arts & Entertainment,2,,
92,Fine Art,90,2,IAB1-3,1,Arts & Entertainment,2,,
52,Humor,90,3,IAB1-4,1,Arts & Entertainment,2,,
253,Radio,231,23,IAB9-24,2,Arts & Entertainment,2,,
64,Television,90,6,IAB1-7,1,Arts & Entertainment,2,,
118,Agriculture,74,1,IAB3-2,4,News and Information,40002,,
263,Environmental Safety,260,2,IAB10-3,3,News and Information,40002,,
81,Gambling,447,2,ADF-042,6,Adult,1,Gambling,8
293,Gay Life,291,2,IAB14-3,3,Social Networking,8,Dating/Romance,3
307,Geography,299,7,IAB15-8,3,Science,24,,
383,Graphics Software,62,15,IAB19-16,4,Technology & Computing,18,,
